,link,title
0,https://www.idealist.org//en/nonprofit-job/55462ffb6fc7430dbac079e26ded9113-design-specialist-office-of-communications-the-urban-institute-washington-dc-washington,Design Specialist (Office of Communications)
1,https://www.idealist.org//en/nonprofit-job/b060bb7e8fef491e8fdb160bfe1cacda-chapter-coordinator-association-of-corporate-counsel-washington,Chapter Coordinator
2,https://www.idealist.org//en/nonprofit-job/ba065227b1604ebeb5b6dc68c3094e2e-assistant-director-of-development-annual-fund-edmund-burke-school-washington,"Assistant Director of Development, Annual Fund"
3,https://www.idealist.org//en/nonprofit-job/f42596aaeb0648d09fff4be07d992da9-membership-services-coordinator-general-federation-of-womens-clubs-washington,Membership Services Coordinator
4,https://www.idealist.org//en/job/686e9ee27c034824a1fb1eaecf16bf10-content-producer-for-live-event-programming-brainstorm-creative-resources-washington,Content Producer for Live Event Programming
5,https://www.idealist.org//en/nonprofit-job/7e88918ffa224c649ef9d7b80f7b0766-donor-relationship-manager-catholic-charities-of-the-diocese-of-arlington-arlington,Donor Relationship Manager
6,https://www.idealist.org//en/nonprofit-job/5bf7321550c64ef6ba74fedab5ca3266-dc-workforce-readiness-mentor-generation-you-employed-inc-washington,DC Workforce Readiness Mentor
7,https://www.idealist.org//en/consultant-job/ab011a8f2dd544eea9ff8ee7b996477d-operations-and-accounting-assistant-mr-washington,Operations and Accounting Assistant
8,https://www.idealist.org//en/nonprofit-job/c63a19ebebc14589a1fc51db086fdcf8-digital-associate-marketing-development-department-partnership-for-a-healthier-america-washington,"Digital Associate, Marketing & Development Department"
9,https://www.idealist.org//en/nonprofit-job/ecfce7c62ae24a0787fa5cdb12dd7ec9-executive-assistant-to-the-president-womens-learning-partnership-for-rights-development-and-peace-wlp-bethesda,Executive Assistant to the President
10,https://www.idealist.org//en/nonprofit-job/047906f2b8d54e019c91510694b7f74f-executive-director-stable-washington,Executive Director
11,https://www.idealist.org//en/nonprofit-job/ce134ad53bd44c4ca0264389c4702210-program-clerk-association-of-farmworker-opportunity-programs-washington,Program Clerk
12,https://www.idealist.org//en/nonprofit-job/30d60e56906c416092eb308ff3a89e31-communication-coordinator-association-of-farmworker-opportunity-programs-washington,Communication Coordinator
13,https://www.idealist.org//en/nonprofit-job/7f1696ca0a0649dfb3a398620af8c2d0-customer-engagement-manager-advanced-energy-economy-washington,Customer Engagement Manager
14,https://www.idealist.org//en/nonprofit-job/2e4fd249d3ea4206a88f6745010cf3ce-advancement-specialist-american-council-on-education-washington,Advancement Specialist
15,https://www.idealist.org//en/job/24b28233ea5345cb9f54e248e94daa24-development-and-communications-coordinator-careers-in-nonprofits-inc-washington,Development and Communications Coordinator
16,https://www.idealist.org//en/consultant-job/664e4e0d52514112a2ea1a4ff83fad5d-video-editor-in-house-rising-tide-interactive-washington,Video Editor (In-House)
17,https://www.idealist.org//en/nonprofit-job/b5443b053eb645348a974d369408dbb6-membership-development-assistant-glen-echo-park-partnership-for-arts-and-culture-inc-glen-echo,Membership & Development Assistant
18,https://www.idealist.org//en/nonprofit-job/58a1994e6a40430f8876857a4fed1745-marketing-and-development-officer-the-batonga-foundation-washington,Marketing and Development Officer
19,https://www.idealist.org//en/job/3134161c2df74be9b3486ecfd4cee579-communications-associate-consumer-reports-washington,Communications Associate
20,https://www.idealist.org//en/nonprofit-job/55462ffb6fc7430dbac079e26ded9113-design-specialist-office-of-communications-the-urban-institute-washington-dc-washington,Design Specialist (Office of Communications)
21,https://www.idealist.org//en/nonprofit-job/b060bb7e8fef491e8fdb160bfe1cacda-chapter-coordinator-association-of-corporate-counsel-washington,Chapter Coordinator
22,https://www.idealist.org//en/nonprofit-job/ba065227b1604ebeb5b6dc68c3094e2e-assistant-director-of-development-annual-fund-edmund-burke-school-washington,"Assistant Director of Development, Annual Fund"
23,https://www.idealist.org//en/nonprofit-job/f42596aaeb0648d09fff4be07d992da9-membership-services-coordinator-general-federation-of-womens-clubs-washington,Membership Services Coordinator
24,https://www.idealist.org//en/job/686e9ee27c034824a1fb1eaecf16bf10-content-producer-for-live-event-programming-brainstorm-creative-resources-washington,Content Producer for Live Event Programming
25,https://www.idealist.org//en/nonprofit-job/7e88918ffa224c649ef9d7b80f7b0766-donor-relationship-manager-catholic-charities-of-the-diocese-of-arlington-arlington,Donor Relationship Manager
26,https://www.idealist.org//en/nonprofit-job/5bf7321550c64ef6ba74fedab5ca3266-dc-workforce-readiness-mentor-generation-you-employed-inc-washington,DC Workforce Readiness Mentor
27,https://www.idealist.org//en/consultant-job/ab011a8f2dd544eea9ff8ee7b996477d-operations-and-accounting-assistant-mr-washington,Operations and Accounting Assistant
28,https://www.idealist.org//en/nonprofit-job/c63a19ebebc14589a1fc51db086fdcf8-digital-associate-marketing-development-department-partnership-for-a-healthier-america-washington,"Digital Associate, Marketing & Development Department"
29,https://www.idealist.org//en/nonprofit-job/ecfce7c62ae24a0787fa5cdb12dd7ec9-executive-assistant-to-the-president-womens-learning-partnership-for-rights-development-and-peace-wlp-bethesda,Executive Assistant to the President
30,https://www.idealist.org//en/nonprofit-job/047906f2b8d54e019c91510694b7f74f-executive-director-stable-washington,Executive Director
31,https://www.idealist.org//en/nonprofit-job/ce134ad53bd44c4ca0264389c4702210-program-clerk-association-of-farmworker-opportunity-programs-washington,Program Clerk
32,https://www.idealist.org//en/nonprofit-job/30d60e56906c416092eb308ff3a89e31-communication-coordinator-association-of-farmworker-opportunity-programs-washington,Communication Coordinator
33,https://www.idealist.org//en/nonprofit-job/7f1696ca0a0649dfb3a398620af8c2d0-customer-engagement-manager-advanced-energy-economy-washington,Customer Engagement Manager
34,https://www.idealist.org//en/nonprofit-job/2e4fd249d3ea4206a88f6745010cf3ce-advancement-specialist-american-council-on-education-washington,Advancement Specialist
35,https://www.idealist.org//en/job/24b28233ea5345cb9f54e248e94daa24-development-and-communications-coordinator-careers-in-nonprofits-inc-washington,Development and Communications Coordinator
36,https://www.idealist.org//en/consultant-job/664e4e0d52514112a2ea1a4ff83fad5d-video-editor-in-house-rising-tide-interactive-washington,Video Editor (In-House)
37,https://www.idealist.org//en/nonprofit-job/b5443b053eb645348a974d369408dbb6-membership-development-assistant-glen-echo-park-partnership-for-arts-and-culture-inc-glen-echo,Membership & Development Assistant
38,https://www.idealist.org//en/nonprofit-job/58a1994e6a40430f8876857a4fed1745-marketing-and-development-officer-the-batonga-foundation-washington,Marketing and Development Officer
39,https://www.idealist.org//en/job/3134161c2df74be9b3486ecfd4cee579-communications-associate-consumer-reports-washington,Communications Associate
40,https://www.idealist.org//en/nonprofit-job/55462ffb6fc7430dbac079e26ded9113-design-specialist-office-of-communications-the-urban-institute-washington-dc-washington,Design Specialist (Office of Communications)
41,https://www.idealist.org//en/nonprofit-job/b060bb7e8fef491e8fdb160bfe1cacda-chapter-coordinator-association-of-corporate-counsel-washington,Chapter Coordinator
42,https://www.idealist.org//en/nonprofit-job/ba065227b1604ebeb5b6dc68c3094e2e-assistant-director-of-development-annual-fund-edmund-burke-school-washington,"Assistant Director of Development, Annual Fund"
43,https://www.idealist.org//en/nonprofit-job/f42596aaeb0648d09fff4be07d992da9-membership-services-coordinator-general-federation-of-womens-clubs-washington,Membership Services Coordinator
44,https://www.idealist.org//en/job/686e9ee27c034824a1fb1eaecf16bf10-content-producer-for-live-event-programming-brainstorm-creative-resources-washington,Content Producer for Live Event Programming
45,https://www.idealist.org//en/nonprofit-job/7e88918ffa224c649ef9d7b80f7b0766-donor-relationship-manager-catholic-charities-of-the-diocese-of-arlington-arlington,Donor Relationship Manager
